,Job Title,Experience,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
22,Associate Software Engineer - Entry Level,3,1,"Network Innovations U.S. Government
3.4","$90,000 /yr (est.)","Frederick, MD",3.4,False,1 to 50 Employees,-1,Company - Public,-1,-1,$5 to $25 million (USD),2.6,2.7,3.3,2.8,3.0,2023-05-15 09:17:24.151401
23,DevOps Engineer,2,2,"Capillary Technologies
4.0","$107,500 /yr (est.)",Remote,4.0,True,501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.0,3.6,4.2,3.8,3.6,2023-05-15 09:17:25.868434
24,DevOps Engineer,2,2,"Acklen Avenue Software
4.0",-1,Remote,4.0,True,51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3.9,3.3,4.3,3.8,4.4,2023-05-15 09:17:27.583056
25,Software Engineer,7,1,"Intone Networks
4.5",$67.50 /hr (est.),"Foster City, CA",4.5,False,201 to 500 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.2,4.4,3.8,4.4,2023-05-15 09:17:29.334004
26,Innovation Software Test Engineer,5,1,PVD,$55.00 /hr (est.),Remote,-1,True,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-15 09:17:31.073475
27,DevOps engineer,-1,2,GS SOLUTIONS,$65.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:17:32.699950
28,Software Development Engineer,7,2,"Intellibus
4.5",$70.00 /hr (est.),Remote,4.5,True,Unknown,2015,Unknown,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,4.8,4.4,4.3,4.4,2023-05-15 09:17:34.130146
29,Junior Software Engineer,1,1,DataBP,"$85,000 /yr (est.)","New York, NY",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:17:35.969511
30,Software Engineer,10,-1,slesha inc,$60.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:17:46.180682
31,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:17:47.627710
32,Kubernetes Engineer,1,3,"Purple Drive Technologies
4.2",$55.00 /hr (est.),"Deerfield, IL",4.2,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,3.9,3.7,4.0,4.0,4.2,2023-05-15 09:17:48.908266
33,Frontend engineer,1,2,Arvist,"$50,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:17:50.555748
34,DevOps Engineer,1,2,Seamless Migration,"$142,500 /yr (est.)",Remote,-1,True,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-15 09:17:52.035219
35,Software Engineer – Frontend,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-15 09:17:53.646516
36,Software Engineer - Frontend (Remote),-1,1,"Home Depot / THD
3.8","$130,000 /yr (est.)","Atlanta, GA",3.8,False,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),3.7,3.6,3.8,3.4,3.6,2023-05-15 09:17:55.444358
37,Frontend Engineer,3,1,"Trellis
4.4",-1,Remote,4.4,True,51 to 200 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),4.3,4.2,4.3,4.3,4.2,2023-05-15 09:17:57.209603
38,Software Engineer,2,1,Aiden Technology,"$100,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:17:58.952732
39,Full Stack Java,1,3,"Fuge Technologies Inc
4.7",$57.50 /hr (est.),Remote,4.7,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,4.7,4.5,4.7,4.3,4.5,2023-05-15 09:18:00.394554
40,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:18:02.074428
41,Cloud Engineer,10,1,"Radcube LLC
3.6","$122,650 /yr (est.)",Remote,3.6,True,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.6,3.2,3.6,3.4,3.6,2023-05-15 09:18:03.295812
42,Software Development Engineer,7,2,"Intellibus
4.5",$70.00 /hr (est.),Remote,4.5,True,Unknown,2015,Unknown,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,4.8,4.4,4.3,4.4,2023-05-15 09:18:05.086328
43,Software Engineer,7,1,"Intone Networks
4.5",$67.50 /hr (est.),"Foster City, CA",4.5,False,201 to 500 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.2,4.4,3.8,4.4,2023-05-15 09:18:06.838354
44,Junior Level Cloud Engineer,1,2,"element technologies
3.9",$42.50 /hr (est.),Remote,3.9,True,51 to 200 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.5,3.4,3.6,3.7,3.5,2023-05-15 09:18:08.602035
45,Frontend Engineer,5,2,"FAAZ Consulting
2.4",$62.50 /hr (est.),"Cerritos, CA",2.4,False,Unknown,-1,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.3,3.7,2.3,2.7,3.3,2023-05-15 09:18:10.512414
46,Fullstack Engineer,-1,2,"Holdings
3.6",-1,Remote,3.6,True,10000+ Employees,1957,Company - Private,Car & Truck Rental,Transportation & Logistics,$10+ billion (USD),3.9,3.6,3.7,3.5,2.9,2023-05-15 09:18:12.244134
47,Software Engineer,-1,1,"Jumpseller
4.2",$40.00 /hr (est.),Remote,4.2,True,1 to 50 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),3.8,3.9,4.5,4.0,4.5,2023-05-15 09:18:14.151591
48,Frontend Engineer,11,2,"Virtualitics
4.2",-1,Remote,4.2,True,51 to 200 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.2,4.2,4.2,4.1,4.2,2023-05-15 09:18:16.021474
49,Software Engineer I,-1,1,"Global Payments
3.4","$82,680 /yr (est.)","Alpharetta, GA",3.4,False,10000+ Employees,1967,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD),3.3,3.3,3.4,3.1,3.4,2023-05-15 09:18:17.809928
50,Frontend Software Engineer,-1,1,"TikTok
3.6","$161,975 /yr (est.)","Seattle, WA",3.6,False,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.5,3.6,3.5,3.1,3.0,2023-05-15 09:18:19.578071
51,Junior Software Developer,2,1,Springbrook Creek Statement Composition LLC,$31.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:18:21.339281
52,DevOps engineer,-1,2,GS SOLUTIONS,$65.00 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:18:22.868645
53,Jr Frontend Developer,20,1,"QuinStreet
4.1","$70,000 /yr (est.)","Austin, TX",4.1,False,501 to 1000 Employees,1999,Company - Public,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD),4.0,3.8,4.0,3.7,4.1,2023-05-15 09:18:24.290837
54,Frontend Engineer,-1,1,"CRED Investments
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-15 09:18:26.092174
55,Sr. Software Engineer (Mobile / Web),4,1,Pulsar Informatics Inc,"$125,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:18:27.869507
56,Java Software Engineer,-1,2,"Ampcus Incorporated
3.7","$101,033 /yr (est.)","Chantilly, VA",3.7,False,501 to 1000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.3,3.0,3.3,3.1,3.2,2023-05-15 09:18:29.347778
57,"QC "" Software"" Engineer",5,1,Celink,"$97,500 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:18:31.163284
58,Frontend Engineer,4,2,"OpenPhone Technologies
5.0",-1,Remote,5.0,True,51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.8,5.0,4.9,5.0,4.9,2023-05-15 09:18:32.780080
59,Software Engineer,-1,1,"PHNTM
5.0","$125,000 /yr (est.)",Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.0,5.0,5.0,5.0,5.0,2023-05-15 09:18:34.607814
60,Software Engineer - Frontend (Remote),-1,1,"Home Depot / THD
3.8","$130,000 /yr (est.)","Atlanta, GA",3.8,False,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),3.7,3.6,3.8,3.4,3.6,2023-05-15 09:18:45.338073
61,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:18:47.124931
62,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:18:48.380268
63,Frontend Engineer,3,1,"Trellis
4.4",-1,Remote,4.4,True,51 to 200 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),4.3,4.2,4.3,4.3,4.2,2023-05-15 09:18:49.678429
64,Software Engineer - Frontend,4,1,"Kikoff
4.3",-1,Remote,4.3,True,1 to 50 Employees,2019,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.2,4.6,4.2,4.1,4.2,2023-05-15 09:18:51.547683
65,Frontend Software Engineer,-1,1,"TikTok
3.6","$161,975 /yr (est.)","Seattle, WA",3.6,False,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.5,3.6,3.5,3.1,3.0,2023-05-15 09:18:53.380517
66,Associate Software Engineer,2,1,"Pfizer
4.1","$83,681 /yr (est.)","Pearl River, NY",4.1,False,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.0,4.0,3.6,3.9,2023-05-15 09:18:55.171081
67,Associate Software Engineer - Entry Level,3,1,"Network Innovations U.S. Government
3.4",$106.00 /hr (est.),"Frederick, MD",3.4,False,51 to 200 Employees,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),-1,-1,-1,-1,-1,2023-05-15 09:18:57.021841
68,Frontend Engineer,4,2,"OpenPhone Technologies
5.0",-1,Remote,5.0,True,51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.8,5.0,4.9,5.0,4.9,2023-05-15 09:18:59.205085
69,Software Engineer,-1,-1,"Southwest Airlines
4.1","$112,950 /yr (est.)","Dallas, TX",4.1,False,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.2,4.0,3.5,3.6,2023-05-15 09:19:01.016594
70,Software Engineer - Angular,3,1,"Encore Technologies
4.4",$77.00 /hr (est.),"Cincinnati, OH",4.4,False,201 to 500 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.2,4.1,4.3,4.1,4.3,2023-05-15 09:19:02.904750
71,Sr. Software Engineer (Mobile / Web),4,1,Pulsar Informatics Inc,"$125,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:19:04.807455
72,Software Engineer (L4) - TV User Interface,-1,1,"Netflix
4.3",-1,Remote,4.3,True,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-05-15 09:19:06.267986
73,Python Software Engineer,1,1,Rackera Inc,$75.63 /hr (est.),"Boston, MA",-1,False,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-15 09:19:08.119634
74,Frontend Engineer,-1,-1,"Drivetrain AI
3.6",-1,Remote,3.6,True,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.5,3.5,3.4,3.1,3.1,2023-05-15 09:19:09.838229
75,C# Software Engineer,5,2,"Intellibus
4.5",$70.00 /hr (est.),Remote,4.5,True,Unknown,2015,Unknown,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,4.8,4.4,4.3,4.4,2023-05-15 09:19:11.675295
76,Frontend Engineer (ReactJS),5,2,"Scalio
4.6",-1,Remote,4.6,True,1 to 50 Employees,2011,Company - Private,Software Development,Information Technology,$1 to $5 million (USD),4.5,4.6,4.7,4.6,4.6,2023-05-15 09:19:13.530763
77,Frontend Engineer,5,2,"FAAZ Consulting
2.4",$62.50 /hr (est.),"Cerritos, CA",2.4,False,Unknown,-1,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,3.3,3.7,2.3,2.7,3.3,2023-05-15 09:19:15.379464
78,Software Engineer,-1,1,"PHNTM
5.0","$125,000 /yr (est.)",Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.0,5.0,5.0,5.0,5.0,2023-05-15 09:19:17.406025
79,Frontend Engineer,-1,1,"CRED Investments
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-05-15 09:19:19.237387
80,Software Engineer,-1,2,"LSEG (London Stock Exchange Group)
3.9","$156,800 /yr (est.)","New York, NY",3.9,False,10000+ Employees,1698,Company - Public,Stock Exchanges,Financial Services,$1 to $5 billion (USD),3.7,3.6,3.9,3.5,3.9,2023-05-15 09:19:21.025338
81,Software Engineer,-1,-1,Occam Edge Technologies,$65.00 /hr (est.),"Raleigh, NC",-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:19:22.871032
82,Software Engineer - New Graduate,4,1,"Thales Avionics, Inc. (IFE)
3.7","$110,500 /yr (est.)","Irvine, CA",3.7,False,1001 to 5000 Employees,2000,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.5,3.9,3.6,3.2,3.7,2023-05-15 09:19:24.353439
83,Software Engineer (JavaScript),3,2,"SoftIron
3.9","$100,000 /yr (est.)","San Diego, CA",3.9,False,51 to 200 Employees,2012,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.1,4.3,4.1,4.1,2023-05-15 09:19:26.269942
84,Software Engineer,6,2,"January Technologies
5.0","$135,000 /yr (est.)","San Francisco, CA",5.0,False,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.4,5.0,5.0,4.9,2023-05-15 09:19:28.163683
85,Software Engineer I (NST),-1,-1,"Nintendo
4.5","$96,997 /yr (est.)","Redmond, WA",4.5,False,5001 to 10000 Employees,-1,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD),3.9,4.1,4.3,4.0,3.9,2023-05-15 09:19:30.110921
86,Fullstack Engineer,-1,2,"Holdings
3.6",-1,Remote,3.6,True,10000+ Employees,1957,Company - Private,Car & Truck Rental,Transportation & Logistics,$10+ billion (USD),3.9,3.6,3.7,3.5,2.9,2023-05-15 09:19:32.134376
87,Junior Software Engineer,-1,1,"SoundThinking
3.5",-1,Remote,3.5,True,201 to 500 Employees,1996,Company - Public,Software Development,Information Technology,$25 to $100 million (USD),3.2,3.4,3.4,3.4,3.5,2023-05-15 09:19:33.993729
88,"Software Engineer, Docs + Wiki",-1,1,"Notion
4.9","$190,000 /yr (est.)","San Francisco, CA",4.9,False,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.8,4.9,4.8,4.6,2023-05-15 09:19:35.854188
89,Junior Software Engineer,-1,1,"Simply Business
4.2","$75,746 /yr (est.)","Atlanta, GA",4.2,False,51 to 200 Employees,2005,Company - Public,Insurance Carriers,Insurance,$25 to $100 million (USD),3.9,4.2,4.2,3.9,4.4,2023-05-15 09:19:37.809798
90,Software Engineer – Frontend,2,1,"ClimateAI
5.0",-1,Remote,5.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.7,3.3,5.0,4.7,4.7,2023-05-15 09:19:48.593626
91,Associate Software Engineer,2,1,"Pfizer
4.1","$83,681 /yr (est.)","Pearl River, NY",4.1,False,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.0,4.0,3.6,3.9,2023-05-15 09:19:50.383199
92,Software Engineer - Frontend,4,1,"Kikoff
4.3",-1,Remote,4.3,True,1 to 50 Employees,2019,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.2,4.6,4.2,4.1,4.2,2023-05-15 09:19:52.333423
93,Associate Software Engineer,2,1,"Ancestry
3.7","$88,500 /yr (est.)",Remote,3.7,True,1001 to 5000 Employees,1983,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),3.2,3.5,3.8,3.2,4.1,2023-05-15 09:19:54.247570
94,Software Engineer I (NST),-1,1,"Nintendo
4.5","$96,997 /yr (est.)","Redmond, WA",4.5,False,5001 to 10000 Employees,-1,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD),3.9,4.1,4.3,4.0,3.9,2023-05-15 09:19:56.198392
95,Software Engineer - Remote,1,2,"iboss
2.9","$79,074 /yr (est.)","Green Bay, WI",2.9,False,51 to 200 Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2.9,3.1,2.9,2.9,3.2,2023-05-15 09:19:58.085124
96,Frontend Engineer (Remote),2,1,"Leaf Logistics
4.0","$80,000 /yr (est.)",Remote,4.0,True,1 to 50 Employees,2017,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.9,4.2,3.9,3.8,4.5,2023-05-15 09:19:59.991959
97,Mobile Application Software Engineer I,0,1,"Bread Financial
4.4",-1,Remote,4.4,True,5001 to 10000 Employees,1996,Company - Public,Banking & Lending,Financial Services,$1 to $5 million (USD),4.1,4.6,4.5,4.3,4.1,2023-05-15 09:20:01.930436
98,Software Engineer,-1,-1,"Southwest Airlines
4.1","$112,950 /yr (est.)","Dallas, TX",4.1,False,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.2,4.0,3.5,3.6,2023-05-15 09:20:03.858643
99,Software Engineer I,2,1,"Apollo Medical Holdings
3.9","$85,000 /yr (est.)",Remote,3.9,True,1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Healthcare,Less than $1 million (USD),3.5,2.9,3.9,2.9,3.5,2023-05-15 09:20:05.802322
100,Software Engineer,3,1,Vindhya Data Science,"$105,000 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-15 09:20:08.001440
101,Software Engineer (L4) - TV User Interface,-1,1,"Netflix
4.3",-1,Remote,4.3,True,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-05-15 09:20:09.527487
102,Software Engineer I,-1,1,"Clinical Architecture
4.5","$78,856 /yr (est.)","Carmel, IN",4.5,False,51 to 200 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.8,3.6,4.7,4.2,4.6,2023-05-15 09:20:11.408198
103,"Software Engineer, Docs + Wiki",-1,1,"Notion
4.9","$190,000 /yr (est.)","San Francisco, CA",4.9,False,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.8,4.9,4.8,4.6,2023-05-15 09:20:13.326201
104,Entry level software engineer,-1,2,TEKBasic,"$84,317 /yr (est.)","Monmouth Junction, NJ",-1,False,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-15 09:20:15.259352
105,Junior React Developer,2,1,"NCube
4.3",-1,Remote,4.3,True,201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.2,4.2,4.2,4.2,4.0,2023-05-15 09:20:16.940849
106,Frontend Engineer,1,1,"Hive
3.8","$150,000 /yr (est.)","Seattle, WA",3.8,False,10000+ Employees,-1,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.3,3.6,3.7,3.0,4.1,2023-05-15 09:20:18.764745
107,Frontend Engineer,-1,-1,"Drivetrain AI
3.6",-1,Remote,3.6,True,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.5,3.5,3.4,3.1,3.1,2023-05-15 09:20:20.698478
108,Frontend Engineer,4,2,"OpenPhone Technologies
5.0",-1,Remote,5.0,True,51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),4.8,5.0,4.9,5.0,4.9,2023-05-15 09:20:22.573468
109,Software Engineer (JavaScript),3,2,"SoftIron
3.9","$100,000 /yr (est.)","San Diego, CA",3.9,False,51 to 200 Employees,2012,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.1,4.1,4.3,4.1,4.1,2023-05-15 09:20:24.483068
