,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,Data Engineer- Remote,218400.0,2,BACHELOR,-1,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,-1,-1,-1,-1,-1,YT Global Network,2023-05-11 12:21:23.218629
3,"Senior Data Scientist, Analytics",143079.0,4,BACHELOR,-1,"San Francisco, CA",0,501 to 1000 Employees,4,2015,8,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.6,3.5,4.0,3.6,3.1,3.4,Discord,2023-05-11 12:21:28.388437
4,Data Science Associate,97500.0,1,BACHELOR,JUNIOR,United States,0,1 to 50 Employees,1,2015,8,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,Company - Private,4.4,4.5,4.6,4.1,4.1,4.6,pulseData,2023-05-11 12:21:30.143954
5,Senior Data Analyst,145600.0,8,MASTER,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1,-1,-1,-1,-1,-1,Zora,2023-05-11 12:21:31.808314
7,DATA ARCHITECT ( Chat GPT ),187200.0,1,MASTER,SENIOR,"Mansfield, OH",0,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.3,2.7,2.4,3.0,3.0,3.5,Cloudious,2023-05-11 12:21:35.064474
8,"AI Architect | REMOTE | Data Science, AI/ML, R",161200.0,8,MASTER,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Sciprex,2023-05-11 12:21:36.770391
11,Data Engineer/ Data Science on W2,98800.0,8,MASTER,SENIOR,"Greenwood Village, CO",0,1001 to 5000 Employees,5,-1,-1,Colleges & Universities,Education,Unknown / Non-Applicable,-1,College / University,4.5,4.4,4.2,4.2,3.9,4.1,BITS,2023-05-11 12:21:41.732309
13,Computer Science Expert AI Training - Remote Work,52000.0,-1,BACHELOR,-1,Remote,1,51 to 200 Employees,2,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,3.8,3.4,3.7,3.4,3.2,Scaleapi,2023-05-11 12:21:45.132479
14,"Technology Analyst Program - Data Science (Sunnyvale, CA)",95000.0,-1,BACHELOR,JUNIOR,"Sunnyvale, CA",0,10000+ Employees,7,1984,39,Financial Transaction Processing,Financial Services,$10+ billion (USD),9,Company - Public,3.1,3.1,3.2,3.0,2.7,3.1,"Fiserv, Inc.",2023-05-11 12:21:46.867314
15,Data Science Associate,96038.0,2,BACHELOR,-1,"Raleigh, NC",0,10000+ Employees,7,1987,36,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),9,Company - Public,3.9,3.5,4.3,3.8,3.5,3.4,Gilead Sciences,2023-05-11 12:21:48.636430
16,Data Scientist,91000.0,-1,BACHELOR,-1,"Philadelphia, PA",0,Unknown,-1,-1,-1,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Public,3.9,3.9,3.9,3.4,3.4,3.9,Vetro Tech Inc,2023-05-11 12:21:50.438110
17,Data Science Expert - AI Model Training,124800.0,-1,BACHELOR,-1,Remote,1,501 to 1000 Employees,4,1996,27,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Company - Public,3.7,3.3,3.1,3.4,3.2,3.9,Appen,2023-05-11 12:21:52.174656
18,Data Science (AI/ML),69782.0,-1,-1,-1,"Dallas, TX",0,501 to 1000 Employees,4,2004,19,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.9,3.8,3.7,3.9,3.6,3.9,Anblicks,2023-05-11 12:21:53.910208
19,Data Engineer,125000.0,3,BACHELOR,-1,Remote,1,1 to 50 Employees,1,2012,11,Information Technology Support Services,Information Technology,Less than $1 million (USD),1,Company - Private,4.1,3.8,3.9,4.0,4.0,3.9,Cureatr,2023-05-11 12:21:55.620966
20,Data Scientist,109177.0,2,BACHELOR,SENIOR,"Boston, MA",0,10000+ Employees,7,1828,195,Banking & Lending,Financial Services,$5 to $10 billion (USD),8,Company - Public,3.7,3.6,3.6,3.8,3.4,3.7,Citizens,2023-05-11 12:21:57.373769
21,Senior Data Cloud Architect (Data Science Focus),223500.0,-1,MASTER,-1,Remote,1,1001 to 5000 Employees,5,2012,11,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,4.1,4.1,4.2,4.0,3.9,3.7,Snowflake,2023-05-11 12:21:59.105348
22,Data Analyst,140400.0,3,BACHELOR,SENIOR,"Cupertino, CA",0,1 to 50 Employees,1,-1,-1,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),2,Company - Private,3.0,3.0,3.0,3.0,3.0,3.0,Match Inc,2023-05-11 12:22:01.127796
23,Data Scientist,161200.0,5,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,PROLIM Corporation,2023-05-11 12:22:03.166437
24,Data Scientist,98000.0,-1,BACHELOR,-1,"Detroit, MI",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1,-1,-1,-1,-1,-1,KesarWeb,2023-05-11 12:22:04.645187
